TABLE_NAME|COLUMN_NAME|DATA_TYPE|CHARACTER_MAXIMUM_LENGTH|NUMERIC_PRECISION|NUMERIC_SCALE|IS_NULLABLE|COLUMN_DEFAULT|ORDINAL_POSITION
----------|-----------|---------|------------------------|-----------------|-------------|-----------|--------------|----------------
tblAvailableSize|ItemID|smallint|NULL|5|0|NO|NULL|1
tblAvailableSize|SizeID|smallint|NULL|5|0|NO|NULL|2
tblAvailableSize|UnitPrice|smallmoney|NULL|10|4|NO|((0))|3
tblAvailableSize|OnHandQty|smallint|NULL|5|0|NO|((0))|4
tblAvailableSize|ApplyNoDSC|bit|NULL|NULL|NULL|NO|((0))|5
tblAvailableSize|UnitPrice2|smallmoney|NULL|10|4|NO|((0))|6
tblAvailableSize|UnitPrice3|smallmoney|NULL|10|4|NO|((0))|7
tblAvailableSize|DiscountPeriod|bit|NULL|NULL|NULL|NO|((0))|8
tblAvailableSize|DiscountStartDate|smalldatetime|NULL|NULL|NULL|NO|('20240101')|9
tblAvailableSize|DiscountEndDate|smalldatetime|NULL|NULL|NULL|NO|('20240101')|10
tblCashTip|SalesID|int|NULL|10|0|NO|NULL|1
tblCashTip|CashTipAmount|smallmoney|NULL|10|4|NO|((0))|2
tblCashTip|ShiftIndex|tinyint|NULL|3|0|NO|((0))|3
tblCategory|ID|tinyint|NULL|3|0|NO|NULL|1
tblCategory|CatName|varchar|30|NULL|NULL|NO|NULL|2
tblCategory|PrintOrder|tinyint|NULL|3|0|NO|((0))|3
tblCategory|CategoryImageFilePath|varchar|200|NULL|NULL|YES|NULL|4
tblCategory|Status|bit|NULL|NULL|NULL|NO|((1))|5
tblCategory|TaxExemptionApplicable|bit|NULL|NULL|NULL|NO|((0))|6
tblConstants|ID|int|NULL|10|0|NO|NULL|1
tblConstants|TransType|varchar|20|NULL|NULL|NO|('')|2
tblConstants|Code|char|5|NULL|NULL|NO|('')|3
tblConstants|Value|char|10|NULL|NULL|NO|('')|4
tblConstants|Description|varchar|100|NULL|NULL|NO|('')|5
tblConstants|IsError|bit|NULL|NULL|NULL|NO|((1))|6
tblCustomer|ID|int|NULL|10|0|NO|NULL|1
tblCustomer|FName|varchar|30|NULL|NULL|NO|NULL|2
tblCustomer|LName|varchar|30|NULL|NULL|NO|NULL|3
tblCustomer|CustomerNum|varchar|20|NULL|NULL|NO|NULL|4
tblCustomer|DateEntered|smalldatetime|NULL|NULL|NULL|YES|NULL|5
tblCustomer|Gender|bit|NULL|NULL|NULL|NO|((1))|6
tblCustomer|Phone|varchar|20|NULL|NULL|YES|NULL|7
tblCustomer|Address|varchar|200|NULL|NULL|YES|NULL|8
tblCustomer|CardValue|smallmoney|NULL|10|4|YES|NULL|9
tblCustomer|Savings|smallmoney|NULL|10|4|YES|NULL|10
tblCustomer|LastVisit|smalldatetime|NULL|NULL|NULL|YES|NULL|11
tblCustomer|EarnedPoints|int|NULL|10|0|NO|((0))|12
tblCustomer|CustomerNote|varchar|255|NULL|NULL|YES|NULL|13
tblCustomer|CreditBalance|smallmoney|NULL|10|4|YES|NULL|14
tblCustomer|PointsManaged|bit|NULL|NULL|NULL|NO|((0))|15
tblDeletedItems|SalesID|int|NULL|10|0|NO|NULL|1
tblDeletedItems|ItemID|smallint|NULL|5|0|NO|NULL|2
tblDeletedItems|SizeID|smallint|NULL|5|0|NO|NULL|3
tblDeletedItems|Qty|smallint|NULL|5|0|NO|NULL|4
tblDeletedItems|UnitPrice|smallmoney|NULL|10|4|NO|NULL|5
tblDeletedItems|DeletedDateTime|smalldatetime|NULL|NULL|NULL|NO|NULL|6
tblDeletedItems|UserID|smallint|NULL|5|0|NO|NULL|7
tblDeletedItems|DeleteReason|varchar|200|NULL|NULL|YES|NULL|8
tblItem|ID|smallint|NULL|5|0|NO|NULL|1
tblItem|IName|varchar|30|NULL|NULL|NO|NULL|2
tblItem|CategoryID|tinyint|NULL|3|0|NO|NULL|3
tblItem|ApplyGST|bit|NULL|NULL|NULL|NO|((0))|4
tblItem|ApplyPST|bit|NULL|NULL|NULL|NO|((0))|5
tblItem|Status|bit|NULL|NULL|NULL|NO|((1))|6
tblItem|OpenItem|bit|NULL|NULL|NULL|NO|((0))|7
tblItem|KitchenB|bit|NULL|NULL|NULL|NO|((0))|8
tblItem|KitchenF|bit|NULL|NULL|NULL|NO|((0))|9
tblItem|Bar|bit|NULL|NULL|NULL|NO|((0))|10
tblItem|SideDish|bit|NULL|NULL|NULL|NO|((0))|11
tblItem|Taste|bit|NULL|NULL|NULL|NO|((0))|12
tblItem|IName2|varchar|30|NULL|NULL|NO|NULL|13
tblItem|ApplyPST2|bit|NULL|NULL|NULL|NO|((0))|14
tblItem|BarCode|varchar|15|NULL|NULL|NO|('')|15
tblItem|KitchenE|bit|NULL|NULL|NULL|NO|((0))|16
tblItem|Alcohol|bit|NULL|NULL|NULL|NO|((0))|17
tblItem|HourlyChargedItem|bit|NULL|NULL|NULL|NO|((0))|18
